clustering_algorithm,model,total_images,labels_changed,changed_percentage
KMeans,EfficientNetB0,2800,2422,86.5
MiniBatchKMeans,EfficientNetB0,2800,2374,84.78571429
KMedoids,EfficientNetB0,2800,2383,85.10714286
Agglomerative_Single,EfficientNetB0,2800,2400,85.71428571
Agglomerative_Complete,EfficientNetB0,2800,2394,85.5
Agglomerative_Average,EfficientNetB0,2800,2403,85.82142857
Agglomerative_Ward,EfficientNetB0,2800,2444,87.28571429
DBSCAN,EfficientNetB0,2800,2400,85.71428571
OPTICS,EfficientNetB0,2800,2791,99.67857143
GMM,EfficientNetB0,2800,2387,85.25
BayesianGMM,EfficientNetB0,2800,2413,86.17857143
SpectralClustering,EfficientNetB0,2800,2422,86.5
BIRCH,EfficientNetB0,2800,2425,86.60714286
KMeans,ResNet152,2800,2367,84.53571429
MiniBatchKMeans,ResNet152,2800,2388,85.28571429
KMedoids,ResNet152,2800,2408,86
Agglomerative_Single,ResNet152,2800,2397,85.60714286
Agglomerative_Complete,ResNet152,2800,2385,85.17857143
Agglomerative_Average,ResNet152,2800,2412,86.14285714
Agglomerative_Ward,ResNet152,2800,2385,85.17857143
DBSCAN,ResNet152,2800,2726,97.35714286
OPTICS,ResNet152,2800,2791,99.67857143
GMM,ResNet152,2800,2367,84.53571429
BayesianGMM,ResNet152,2800,2367,84.53571429
SpectralClustering,ResNet152,2800,2394,85.5
BIRCH,ResNet152,2800,2391,85.39285714
KMeans,VGG19,2800,2401,85.75
MiniBatchKMeans,VGG19,2800,2394,85.5
KMedoids,VGG19,2800,2368,84.57142857
Agglomerative_Single,VGG19,2800,2398,85.64285714
Agglomerative_Complete,VGG19,2800,2394,85.5
Agglomerative_Average,VGG19,2800,2418,86.35714286
Agglomerative_Ward,VGG19,2800,2378,84.92857143
DBSCAN,VGG19,2800,2400,85.71428571
OPTICS,VGG19,2800,2793,99.75
GMM,VGG19,2800,2400,85.71428571
BayesianGMM,VGG19,2800,2400,85.71428571
SpectralClustering,VGG19,2800,2415,86.25
BIRCH,VGG19,2800,2400,85.71428571
KMeans,MobileNetV3,2800,2389,85.32142857
MiniBatchKMeans,MobileNetV3,2800,2400,85.71428571
KMedoids,MobileNetV3,2800,2348,83.85714286
Agglomerative_Single,MobileNetV3,2800,2400,85.71428571
Agglomerative_Complete,MobileNetV3,2800,2397,85.60714286
Agglomerative_Average,MobileNetV3,2800,2401,85.75
Agglomerative_Ward,MobileNetV3,2800,2392,85.42857143
DBSCAN,MobileNetV3,2800,2400,85.71428571
OPTICS,MobileNetV3,2800,2400,85.71428571
GMM,MobileNetV3,2800,2400,85.71428571
BayesianGMM,MobileNetV3,2800,2400,85.71428571
SpectralClustering,MobileNetV3,2800,2390,85.35714286
BIRCH,MobileNetV3,2800,2400,85.71428571
KMeans,Xception,2800,2402,85.78571429
MiniBatchKMeans,Xception,2800,2415,86.25
KMedoids,Xception,2800,2369,84.60714286
Agglomerative_Single,Xception,2800,2404,85.85714286
Agglomerative_Complete,Xception,2800,2407,85.96428571
Agglomerative_Average,Xception,2800,2376,84.85714286
Agglomerative_Ward,Xception,2800,2418,86.35714286
DBSCAN,Xception,2800,2640,94.28571429
OPTICS,Xception,2800,2797,99.89285714
GMM,Xception,2800,2401,85.75
BayesianGMM,Xception,2800,2402,85.78571429
SpectralClustering,Xception,2800,2412,86.14285714
BIRCH,Xception,2800,2392,85.42857143
